sent_pos,sent_neg,sent_neu,sent_compound,sent_pos_tokenized,sent_neg_tokenized,sent_neu_tokenized,sent_compound_tokenized
0.164,0.098,0.739,0.3612,0.20266666666666666,0.04633333333333334,0.751,0.054400000000000004
0.091,0.056,0.853,0.9163,0.09166666666666666,0.045599999999999995,0.8628000000000001,0.11119999999999998
0.095,0.091,0.814,0.1742,0.079875,0.08675,0.833375,-0.005912500000000001
0.0,0.123,0.877,-0.9195,0.0,0.13324999999999998,0.8667500000000001,-0.2421375
0.048,0.177,0.775,-0.9873,0.06841176470588235,0.23317647058823526,0.6984117647058824,-0.2138470588235294
0.193,0.118,0.689,0.6369,0.15916666666666665,0.09216666666666667,0.7486666666666667,0.10508333333333332
0.21,0.0,0.79,0.8184,0.16240000000000002,0.0,0.8376000000000001,0.24916
0.17,0.02,0.809,0.9442,0.19624999999999998,0.01475,0.7889999999999999,0.364975
0.099,0.028,0.873,0.9433,0.09824999999999999,0.023625,0.8781249999999999,0.24306250000000001
0.142,0.025,0.833,0.8779,0.06866666666666667,0.068,0.8633333333333334,-0.01128333333333334
0.227,0.052,0.721,0.9041,0.1755,0.1,0.7244999999999999,0.30175
0.206,0.02,0.774,0.9198,0.1585,0.011666666666666667,0.8298333333333332,0.38093333333333335
0.18,0.018,0.802,0.9831,0.2491578947368421,0.01873684210526316,0.7321578947368422,0.2837789473684211
0.0,0.021,0.979,-0.2924,0.0,0.0172,0.9827999999999999,-0.044879999999999996
0.075,0.184,0.741,-0.7402,0.12225,0.15525,0.7222500000000001,-0.06407500000000001
0.611,0.0,0.389,0.9631,0.41100000000000003,0.0,0.589,0.5615333333333333
0.081,0.029,0.891,0.8173,0.06785714285714285,0.046,0.8861428571428572,0.11009999999999999
0.099,0.146,0.755,-0.2753,0.0623076923076923,0.18946153846153846,0.7482307692307691,-0.15270000000000003
0.183,0.063,0.753,0.9777,0.11720000000000001,0.0386,0.8443999999999999,0.30708
0.377,0.0,0.623,0.9571,0.4267142857142857,0.0,0.5732857142857143,0.3532857142857143
0.106,0.041,0.853,0.9533,0.08976923076923075,0.03192307692307693,0.8782307692307694,0.09516153846153845
0.146,0.118,0.736,0.5719,0.15483333333333332,0.09683333333333333,0.7483333333333334,0.03346666666666668
0.078,0.04,0.882,0.8172,0.047999999999999994,0.041833333333333333,0.9103333333333334,0.10118333333333333
0.081,0.023,0.897,0.8615,0.09433333333333332,0.02733333333333333,0.8783333333333334,0.12074166666666668
0.244,0.07,0.686,0.9557,0.23325,0.063,0.7037499999999999,0.278875
0.128,0.153,0.719,0.0516,0.0815,0.355,0.5635,0.012749999999999984
0.203,0.0,0.797,0.959,0.2212,0.0,0.7788,0.54188
0.07,0.145,0.785,-0.8343,0.0525,0.17900000000000002,0.7685000000000001,-0.247525
0.02,0.082,0.897,-0.7351,0.01891666666666667,0.058666666666666666,0.9224166666666666,-0.07550833333333333
0.131,0.08,0.789,0.9692,0.10987878787878788,0.07212121212121213,0.8180000000000001,0.0762
0.16,0.023,0.817,0.9169,0.17,0.021,0.8089999999999999,0.39859999999999995
0.177,0.113,0.71,0.5642,0.09333333333333334,0.09766666666666668,0.8089999999999998,-0.018666666666666665
0.013,0.025,0.962,-0.1531,0.019857142857142858,0.03628571428571429,0.9438571428571428,-0.04228571428571428
0.119,0.086,0.794,0.7039,0.05814285714285714,0.04528571428571428,0.8965714285714286,-0.002271428571428575
0.066,0.241,0.693,-0.902,0.0495,0.1425,0.80775,-0.28700000000000003
0.179,0.047,0.774,0.9388,0.2141666666666667,0.014499999999999999,0.7713333333333333,0.30315
0.135,0.123,0.742,0.25,0.15237499999999998,0.09425,0.753375,0.0368125
0.204,0.116,0.68,0.6486,0.1255,0.13325,0.74125,0.029475000000000008
0.154,0.089,0.757,0.9117,0.15207142857142858,0.06264285714285714,0.7852142857142856,0.13699999999999998
0.082,0.112,0.805,-0.8367,0.041166666666666664,0.1245,0.8344444444444447,-0.07786666666666668
0.044,0.091,0.865,-0.7587,0.04125,0.07816666666666668,0.8805833333333334,-0.10334166666666667
0.067,0.141,0.792,-0.8179,0.02390909090909091,0.155,0.8211818181818183,-0.12172727272727273
0.104,0.0,0.896,0.9333,0.09640000000000001,0.0,0.9036,0.41932
0.058,0.069,0.873,0.2429,0.03133333333333333,0.11933333333333333,0.8493333333333334,0.01636666666666668
0.198,0.051,0.752,0.9527,0.16599999999999998,0.1046,0.7294,0.17848000000000008
0.0,0.105,0.895,-0.872,0.0,0.16720000000000002,0.8328,-0.26917
0.065,0.045,0.89,0.2732,0.08499999999999999,0.0382,0.8768,0.03802
0.28,0.178,0.542,0.7805,0.1964,0.1492,0.6542,0.04196000000000002
0.089,0.082,0.83,0.3694,0.0903,0.07039999999999999,0.8394,0.018179999999999995
0.269,0.0,0.731,0.8618,0.23199999999999998,0.0,0.768,0.31057500000000005
0.012,0.148,0.839,-0.9644,0.01325,0.190375,0.796375,-0.2419
